run,name,N_incl,far_incl,ul90_incl,N_excl,far_excl,ul90_excl,ratio,gnet,gH,gL,gnet_pass
O3a,GW190412,3,0.007404229769551866,0.013087185904193062,3,0.007404229769551866,0.013087185904193062,1.0,6.808724753309415,3.3152854442596436,6.3137054443359375,1
O3a,GW190828_063405,3,0.008114960671484187,0.014343422910733993,3,0.008114960671484187,0.014343422910733993,1.0,11.019630043611755,8.922575950622559,6.661534309387207,1
O3a,GW190521_074359,10,0.02704986890494729,0.03327833114419709,10,0.02704986890494729,0.03327833114419709,1.0,2.9826332554345756,0.8053714036941528,3.4127089977264404,1
O3a,GW190513_205428,6,0.014808459539103732,0.020491415673744927,6,0.014808459539103732,0.020491415673744927,1.0,9.249968168336336,4.825238227844238,8.256192207336426,1
O3a,GW190706_222641,10,0.024680765898506218,0.030363722033147415,10,0.024680765898506218,0.030363722033147415,1.0,4.557642861141826,4.977466583251953,1.4680137634277344,1
O3a,GW190727_060333,27,0.07303464604335767,0.07926310828260749,27,0.07303464604335767,0.07926310828260749,1.0,0.790748213580781,0.7150097489356995,0.40327709913253784,1
O3a,GW190519_153544,20,0.049361531797012435,0.05504448793165363,20,0.049361531797012435,0.05504448793165363,1.0,3.395728457759993,0.06471352279186249,4.737571716308594,1
O3a,GW190408_181802,30,0.08114960671484187,0.08737806895409167,30,0.08114960671484187,0.08737806895409167,1.0,4.693938014205931,1.807755470275879,4.830475330352783,1
O3a,GW190602_175927,19,0.05139475091939985,0.057623213158649655,19,0.05139475091939985,0.057623213158649655,1.0,4.1638755608040645,3.972285032272339,1.916324257850647,1
O3a,GW190521,176,0.43438147981370945,0.44006443594835065,175,0.43191340322385885,0.4375963593585,1.0057142857142856,1.730479330524129,2.639296293258667,-0.1920289546251297,1
O3b,GW200129_065458,0,0.0,0.008006526854189603,0,0.0,0.008006526854189603,inf,5.2211976178881265,2.580343008041382,4.8035454750061035,1
O3b,GW200224_222234,1,0.0034771905724173494,0.011483717426606952,1,0.0034771905724173494,0.011483717426606952,1.0,4.40680738251625,1.0650339126586914,5.16713285446167,1
O3b,GW200311_115853,5,0.01882492214208433,0.02749411881219058,5,0.01882492214208433,0.02749411881219058,1.0,4.588631584390552,1.9602317810058594,4.529073238372803,1
O3b,GW191222_033537,7,0.02635489099891806,0.03502408766902431,7,0.02635489099891806,0.03502408766902431,1.0,4.649707762679447,3.864136219024658,2.711543560028076,1
O4a,GW231226_101520,0,0.0,0.0046485020983151396,0,0.0,0.0046485020983151396,inf,7.360590024327058,5.056837558746338,5.352608680725098,1
O4a,GW231123_135430,0,0.0,0.003989213632868728,0,0.0,0.003989213632868728,inf,1.9387251915323795,1.7424644231796265,0.9993070363998413,1
O4a,GW230927_153832,0,0.0,0.003989213632868728,0,0.0,0.003989213632868728,inf,4.603631732069276,1.9153026342391968,4.595215797424316,1
O4a,GW230919_215712,1,0.0017324935378579846,0.005721707170726713,1,0.0017324935378579846,0.005721707170726713,1.0,7.260328066516251,3.5463814735412598,6.721272945404053,1
O4a,GW230627_015337,1,0.0017324935378579846,0.005721707170726713,1,0.0017324935378579846,0.005721707170726713,1.0,6.300809372981962,3.9879238605499268,4.922766208648682,1
O4a,GW231028_153006,4,0.008075275567790356,0.012723777666105497,4,0.008075275567790356,0.012723777666105497,1.0,5.971749539107098,3.118408679962158,5.326920509338379,1
O4a,GW230628_231200,1,0.0017324935378579846,0.005721707170726713,1,0.0017324935378579846,0.005721707170726713,1.0,1.0478156246681867,2.0451831817626953,-0.563348114490509,1
O4a,GW231102_071736,3,0.005197480613573954,0.009186694246442683,3,0.005197480613573954,0.009186694246442683,1.0,4.581867352379342,3.702643632888794,2.777095317840576,1
O4a,GW230924_124453,6,0.012112913351685534,0.016761415450000674,6,0.012112913351685534,0.016761415450000674,1.0,3.8109777222925296,3.338106155395508,2.0514302253723145,1
O4a,GW230601_224134,6,0.012112913351685534,0.016761415450000674,6,0.012112913351685534,0.016761415450000674,1.0,3.002710833953407,1.3349303007125854,2.91154408454895,1
O4a,GW230914_111401,6,0.010394961227147908,0.014384174860016636,6,0.010394961227147908,0.014384174860016636,1.0,3.096748460882429,2.5253121852874756,1.8541514873504639,1
